,Order_ID,Ship_Mode,Ship_Date,Ship_id,Ship_Year,Ship_Month,Ord_id,Prod_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Product_Category,Product_Sub_Category,Customer_Name,Province,Region,Customer_Segment,Order_Date,Order_Priority,Order_Month,Order_Year,Duration
10,807,REGULAR AIR,2010-11-24,SHP_10,2010,11,Ord_8,Prod_6,Cust_8,196.85,0.01,45,-166.85,6.18,0.4,OFFICE SUPPLIES,PAPER,NEOLA SCHNEIDER,NUNAVUT,NUNAVUT,HOME OFFICE,2010-11-23,MEDIUM,11,2010,1
11,807,REGULAR AIR,2010-11-24,SHP_10,2010,11,Ord_8,Prod_7,Cust_8,124.56,0.04,32,-14.33,2.0,0.53,OFFICE SUPPLIES,RUBBER BANDS,NEOLA SCHNEIDER,NUNAVUT,NUNAVUT,HOME OFFICE,2010-11-23,MEDIUM,11,2010,1
12,868,REGULAR AIR,2012-09-06,SHP_11,2012,9,Ord_9,Prod_2,Cust_9,716.84,0.0,32,134.72,5.94,0.5,OFFICE SUPPLIES,APPLIANCES,CARLOS DALY,NUNAVUT,NUNAVUT,HOME OFFICE,2012-08-06,NOT SPECIFIED,8,2012,0
13,868,REGULAR AIR,2012-10-06,SHP_12,2012,10,Ord_9,Prod_8,Cust_9,1474.33,0.04,31,114.46,3.61,0.71,TECHNOLOGY,COMPUTER PERIPHERALS,CARLOS DALY,NUNAVUT,NUNAVUT,HOME OFFICE,2012-08-06,NOT SPECIFIED,8,2012,0
14,933,REGULAR AIR,2012-04-08,SHP_13,2012,4,Ord_10,Prod_3,Cust_10,80.61,0.02,15,-4.72,2.99,0.37,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,CLAUDIA MINER,NUNAVUT,NUNAVUT,SMALL BUSINESS,2012-04-08,NOT SPECIFIED,4,2012,0
15,995,REGULAR AIR,2011-05-31,SHP_14,2011,5,Ord_11,Prod_5,Cust_8,1815.49,0.03,46,782.91,3.04,0.53,FURNITURE,OFFICE FURNISHINGS,NEOLA SCHNEIDER,NUNAVUT,NUNAVUT,HOME OFFICE,2011-05-30,MEDIUM,5,2011,1
16,998,REGULAR AIR,2009-11-26,SHP_15,2009,11,Ord_12,Prod_9,Cust_11,248.26,0.07,16,93.8,1.39,0.4,OFFICE SUPPLIES,ENVELOPES,ALLEN ROSENBLATT,NUNAVUT,NUNAVUT,SMALL BUSINESS,2009-11-25,NOT SPECIFIED,11,2009,1
17,1154,DELIVERY TRUCK,2012-02-16,SHP_16,2012,2,Ord_13,Prod_10,Cust_12,4462.23,0.04,44,440.72,26.22,0.6,FURNITURE,BOOKCASES,SYLVIA FOULSTON,NUNAVUT,NUNAVUT,HOME OFFICE,2012-02-14,CRITICAL,2,2012,2
18,1154,REGULAR AIR,2012-02-16,SHP_17,2012,2,Ord_13,Prod_12,Cust_823,115.1,0.02,23,53.13,0.5,0.36,OFFICE SUPPLIES,LABELS,THEA HENDRICKS,QUEBEC,QUEBEC,HOME OFFICE,2012-02-14,CRITICAL,2,2012,2
19,1154,REGULAR AIR,2012-02-16,SHP_17,2012,2,Ord_13,Prod_11,Cust_12,663.784,0.25,11,-481.04,69.0,0.68,FURNITURE,TABLES,SYLVIA FOULSTON,NUNAVUT,NUNAVUT,HOME OFFICE,2012-02-14,CRITICAL,2,2012,2
20,1344,REGULAR AIR,2012-04-22,SHP_18,2012,4,Ord_14,Prod_4,Cust_13,834.904,0.06,15,-11.68,5.26,0.59,TECHNOLOGY,TELEPHONES AND COMMUNICATION,JIM RADFORD,NUNAVUT,NUNAVUT,CORPORATE,2012-04-15,LOW,4,2012,7
21,1344,REGULAR AIR,2012-04-19,SHP_19,2012,4,Ord_14,Prod_4,Cust_13,2480.9205,0.01,18,313.58,8.99,0.58,TECHNOLOGY,TELEPHONES AND COMMUNICATION,JIM RADFORD,NUNAVUT,NUNAVUT,CORPORATE,2012-04-15,LOW,4,2012,4
22,1412,EXPRESS AIR,2010-03-14,SHP_20,2010,3,Ord_15,Prod_12,Cust_4,59.03,0.1,13,26.92,0.5,0.38,OFFICE SUPPLIES,LABELS,CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,2010-12-03,NOT SPECIFIED,12,2010,11
23,1412,REGULAR AIR,2010-03-14,SHP_21,2010,3,Ord_15,Prod_7,Cust_4,97.48,0.05,21,-5.77,0.7,0.8,OFFICE SUPPLIES,RUBBER BANDS,CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,2010-12-03,NOT SPECIFIED,12,2010,11
24,1539,REGULAR AIR,2011-11-03,SHP_22,2011,11,Ord_16,Prod_3,Cust_14,511.83,0.1,33,-172.88,13.18,0.37,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,CARL LUDWIG,NUNAVUT,NUNAVUT,CORPORATE,2011-09-03,LOW,9,2011,0
25,1539,REGULAR AIR,2011-03-14,SHP_23,2011,3,Ord_16,Prod_8,Cust_14,184.99,0.05,38,-144.55,4.93,0.66,TECHNOLOGY,COMPUTER PERIPHERALS,CARL LUDWIG,NUNAVUT,NUNAVUT,CORPORATE,2011-09-03,LOW,9,2011,11
26,1540,REGULAR AIR,2012-06-08,SHP_24,2012,6,Ord_17,Prod_13,Cust_15,80.9,0.09,30,5.76,0.7,0.56,OFFICE SUPPLIES,PENS & ART SUPPLIES,DON MILLER,NUNAVUT,NUNAVUT,HOME OFFICE,2012-04-08,HIGH,4,2012,0
27,1702,REGULAR AIR,2011-07-05,SHP_25,2011,7,Ord_18,Prod_13,Cust_16,67.24,0.06,23,4.9,0.93,0.54,OFFICE SUPPLIES,PENS & ART SUPPLIES,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-06-05,HIGH,6,2011,0
28,1761,DELIVERY TRUCK,2010-12-25,SHP_26,2010,12,Ord_19,Prod_14,Cust_14,12028.23,0.01,25,-547.61,49.0,0.38,TECHNOLOGY,COPIERS AND FAX,CARL LUDWIG,NUNAVUT,NUNAVUT,CORPORATE,2010-12-23,HIGH,12,2010,2
29,1792,REGULAR AIR,2010-11-13,SHP_27,2010,11,Ord_20,Prod_1,Cust_4,370.48,0.04,28,-5.45,4.51,0.59,OFFICE SUPPLIES,STORAGE & ORGANIZATION,CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,2010-08-11,LOW,8,2010,2
30,2275,REGULAR AIR,2012-10-22,SHP_28,2012,10,Ord_21,Prod_13,Cust_17,278.0,0.08,49,41.67,1.17,0.56,OFFICE SUPPLIES,PENS & ART SUPPLIES,GRANT CARROLL,NUNAVUT,NUNAVUT,SMALL BUSINESS,2012-10-21,NOT SPECIFIED,10,2012,1
31,2277,REGULAR AIR,2011-02-01,SHP_29,2011,2,Ord_22,Prod_8,Cust_15,66.54,0.01,10,-46.03,4.38,0.75,TECHNOLOGY,COMPUTER PERIPHERALS,DON MILLER,NUNAVUT,NUNAVUT,HOME OFFICE,2011-01-01,NOT SPECIFIED,1,2011,0
32,2277,REGULAR AIR,2011-03-01,SHP_30,2011,3,Ord_22,Prod_6,Cust_15,845.32,0.06,21,33.67,19.99,0.36,OFFICE SUPPLIES,PAPER,DON MILLER,NUNAVUT,NUNAVUT,HOME OFFICE,2011-01-01,NOT SPECIFIED,1,2011,0
33,2532,REGULAR AIR,2011-11-10,SHP_31,2011,11,Ord_23,Prod_4,Cust_18,426.037,0.01,24,-78.96,2.5,0.81,TECHNOLOGY,TELEPHONES AND COMMUNICATION,ALAN BARNES,NUNAVUT,NUNAVUT,CORPORATE,2011-10-10,HIGH,10,2011,0
34,2532,REGULAR AIR,2011-11-10,SHP_31,2011,11,Ord_23,Prod_12,Cust_18,282.07,0.03,39,140.01,0.49,0.38,OFFICE SUPPLIES,LABELS,ALAN BARNES,NUNAVUT,NUNAVUT,CORPORATE,2011-10-10,HIGH,10,2011,0
35,2631,REGULAR AIR,2010-09-25,SHP_32,2010,9,Ord_24,Prod_8,Cust_19,1078.49,0.08,27,252.66,1.99,0.55,TECHNOLOGY,COMPUTER PERIPHERALS,JACK GARZA,NUNAVUT,NUNAVUT,CORPORATE,2010-09-23,LOW,9,2010,2
36,2757,DELIVERY TRUCK,2011-07-19,SHP_33,2011,7,Ord_25,Prod_15,Cust_20,3554.46,0.07,39,-1766.01,74.35,0.57,FURNITURE,CHAIRS & CHAIRMATS,JULIA WEST,NUNAVUT,NUNAVUT,CORPORATE,2011-07-19,CRITICAL,7,2011,0
37,2791,REGULAR AIR,2009-09-10,SHP_34,2009,9,Ord_26,Prod_3,Cust_21,191.67,0.0,47,-236.27,7.01,0.37,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,EUGENE BARCHAS,NUNAVUT,NUNAVUT,CORPORATE,2009-09-10,HIGH,9,2009,0
38,2791,DELIVERY TRUCK,2009-11-10,SHP_35,2009,11,Ord_26,Prod_15,Cust_21,5586.33,0.09,49,80.44,30.0,0.64,FURNITURE,CHAIRS & CHAIRMATS,EUGENE BARCHAS,NUNAVUT,NUNAVUT,CORPORATE,2009-09-10,HIGH,9,2009,0
39,2791,REGULAR AIR,2009-10-10,SHP_36,2009,10,Ord_26,Prod_6,Cust_21,507.64,0.1,18,118.94,5.76,0.4,OFFICE SUPPLIES,PAPER,EUGENE BARCHAS,NUNAVUT,NUNAVUT,CORPORATE,2009-09-10,HIGH,9,2009,0
40,2976,DELIVERY TRUCK,2010-11-12,SHP_37,2010,11,Ord_27,Prod_15,Cust_22,14223.82,0.09,30,3424.22,26.0,0.6,FURNITURE,CHAIRS & CHAIRMATS,EDWARD HOOKS,NUNAVUT,NUNAVUT,CONSUMER,2010-09-12,NOT SPECIFIED,9,2010,0
41,3232,REGULAR AIR,2012-10-10,SHP_38,2012,10,Ord_28,Prod_3,Cust_23,42.66,0.06,5,-11.83,4.71,0.35,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BRAD EASON,NUNAVUT,NUNAVUT,SMALL BUSINESS,2012-08-10,CRITICAL,8,2012,0
42,3524,REGULAR AIR,2012-03-05,SHP_39,2012,3,Ord_29,Prod_6,Cust_24,427.32,0.0,21,52.35,9.03,0.37,OFFICE SUPPLIES,PAPER,NICOLE HANSEN,NUNAVUT,NUNAVUT,SMALL BUSINESS,2012-02-05,HIGH,2,2012,0
43,3908,REGULAR AIR,2010-08-03,SHP_40,2010,8,Ord_30,Prod_4,Cust_25,820.284,0.0,8,-180.2,2.5,0.57,TECHNOLOGY,TELEPHONES AND COMMUNICATION,DOROTHY WARDLE,NUNAVUT,NUNAVUT,CORPORATE,2010-08-03,MEDIUM,8,2010,0
44,4132,REGULAR AIR,2011-05-30,SHP_41,2011,5,Ord_31,Prod_12,Cust_26,14.76,0.01,5,1.32,0.5,0.36,OFFICE SUPPLIES,LABELS,AARON BERGMAN,NUNAVUT,NUNAVUT,CORPORATE,2011-05-28,NOT SPECIFIED,5,2011,2
45,4612,REGULAR AIR,2010-09-21,SHP_42,2010,9,Ord_32,Prod_2,Cust_13,89.55,0.06,9,-375.64,49.0,0.6,OFFICE SUPPLIES,APPLIANCES,JIM RADFORD,NUNAVUT,NUNAVUT,CORPORATE,2010-09-19,MEDIUM,9,2010,2
46,4676,REGULAR AIR,2011-01-09,SHP_43,2011,1,Ord_33,Prod_4,Cust_16,4253.009,0.01,30,1115.69,8.99,0.58,TECHNOLOGY,TELEPHONES AND COMMUNICATION,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-08-31,HIGH,8,2011,-22
47,4676,REGULAR AIR,2011-01-09,SHP_43,2011,1,Ord_33,Prod_4,Cust_16,1210.0515,0.04,11,-104.25,7.69,0.58,TECHNOLOGY,TELEPHONES AND COMMUNICATION,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-08-31,HIGH,8,2011,-22
48,4676,REGULAR AIR,2011-02-09,SHP_44,2011,2,Ord_33,Prod_12,Cust_16,187.83,0.03,50,85.96,0.5,0.37,OFFICE SUPPLIES,LABELS,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-08-31,HIGH,8,2011,-22
49,4676,EXPRESS AIR,2011-02-09,SHP_45,2011,2,Ord_33,Prod_6,Cust_16,49.59,0.07,3,-8.38,6.47,0.38,OFFICE SUPPLIES,PAPER,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-08-31,HIGH,8,2011,-22
50,5284,REGULAR AIR,2011-10-07,SHP_46,2011,10,Ord_34,Prod_3,Cust_16,59.38,0.1,7,-3.05,2.99,0.39,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-08-07,NOT SPECIFIED,8,2011,0
51,5316,REGULAR AIR,2009-01-02,SHP_47,2009,1,Ord_35,Prod_8,Cust_3,1285.37,0.1,42,514.07,1.99,0.42,TECHNOLOGY,COMPUTER PERIPHERALS,CLAY ROZENDAL,NUNAVUT,NUNAVUT,CORPORATE,2009-01-30,CRITICAL,1,2009,-28
52,5409,REGULAR AIR,2012-01-13,SHP_48,2012,1,Ord_36,Prod_6,Cust_27,48.91,0.01,11,-7.04,2.97,0.35,OFFICE SUPPLIES,PAPER,DON JONES,NUNAVUT,NUNAVUT,CORPORATE,2012-08-01,LOW,8,2012,12
53,5506,REGULAR AIR,2010-08-11,SHP_49,2010,8,Ord_37,Prod_6,Cust_28,129.62,0.05,22,4.41,3.04,0.36,OFFICE SUPPLIES,PAPER,BETH THOMPSON,NUNAVUT,NUNAVUT,CORPORATE,2010-07-11,CRITICAL,7,2010,0
54,5569,REGULAR AIR,2010-01-05,SHP_50,2010,1,Ord_38,Prod_5,Cust_29,118.97,0.09,12,-0.06,6.22,0.55,FURNITURE,OFFICE FURNISHINGS,FRANK PRICE,NUNAVUT,NUNAVUT,CORPORATE,2010-04-29,NOT SPECIFIED,4,2010,-24
55,5607,REGULAR AIR,2012-03-01,SHP_51,2012,3,Ord_39,Prod_4,Cust_30,61.8715,0.0,8,-50.33,5.03,0.6,TECHNOLOGY,TELEPHONES AND COMMUNICATION,MICHELLE LONSDALE,NUNAVUT,NUNAVUT,HOME OFFICE,2011-12-31,NOT SPECIFIED,12,2011,-30
56,5894,REGULAR AIR,2009-08-13,SHP_52,2009,8,Ord_40,Prod_3,Cust_31,384.33,0.1,7,87.68,1.49,0.38,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ANN CHONG,NUNAVUT,NUNAVUT,CORPORATE,2009-12-08,HIGH,12,2009,5
57,5894,REGULAR AIR,2009-08-15,SHP_53,2009,8,Ord_40,Prod_2,Cust_31,239.03,0.01,3,-68.22,4.5,0.55,OFFICE SUPPLIES,APPLIANCES,ANN CHONG,NUNAVUT,NUNAVUT,CORPORATE,2009-12-08,HIGH,12,2009,7
58,5925,REGULAR AIR,2011-11-19,SHP_54,2011,11,Ord_41,Prod_4,Cust_32,1733.3625,0.07,25,-267.01,0.99,0.85,TECHNOLOGY,TELEPHONES AND COMMUNICATION,JOY BELL,NUNAVUT,NUNAVUT,HOME OFFICE,2011-12-11,LOW,12,2011,8
59,5925,REGULAR AIR,2011-11-19,SHP_54,2011,11,Ord_41,Prod_5,Cust_32,3922.42,0.08,44,-354.9,39.61,0.67,FURNITURE,OFFICE FURNISHINGS,JOY BELL,NUNAVUT,NUNAVUT,HOME OFFICE,2011-12-11,LOW,12,2011,8
60,6016,REGULAR AIR,2012-01-20,SHP_55,2012,1,Ord_42,Prod_6,Cust_33,208.28,0.07,19,3.63,5.43,0.36,OFFICE SUPPLIES,PAPER,SKYE NORLING,NUNAVUT,NUNAVUT,HOME OFFICE,2012-01-20,HIGH,1,2012,0
61,6116,REGULAR AIR,2009-03-22,SHP_56,2009,3,Ord_43,Prod_16,Cust_34,9620.82,0.04,6,-1759.58,24.49,0.81,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",BARRY WEIRICH,NUNAVUT,NUNAVUT,CORPORATE,2009-03-20,MEDIUM,3,2009,2
62,6182,REGULAR AIR,2012-07-28,SHP_57,2012,7,Ord_44,Prod_6,Cust_35,255.48,0.04,40,-116.79,6.65,0.36,OFFICE SUPPLIES,PAPER,GRANT CARROLL,NUNAVUT,NUNAVUT,CORPORATE,2012-07-21,LOW,7,2012,7
63,6182,EXPRESS AIR,2012-07-25,SHP_58,2012,7,Ord_44,Prod_6,Cust_35,130.32,0.04,18,-67.28,7.86,0.37,OFFICE SUPPLIES,PAPER,GRANT CARROLL,NUNAVUT,NUNAVUT,CORPORATE,2012-07-21,LOW,7,2012,4
64,6535,EXPRESS AIR,2012-06-15,SHP_59,2012,6,Ord_45,Prod_13,Cust_36,312.36,0.07,11,-19.33,8.99,0.57,OFFICE SUPPLIES,PENS & ART SUPPLIES,ADRIAN HANE,NUNAVUT,NUNAVUT,CORPORATE,2012-12-06,CRITICAL,12,2012,9
65,6884,REGULAR AIR,2009-01-20,SHP_60,2009,1,Ord_46,Prod_6,Cust_33,296.13,0.04,47,119.09,1.02,0.39,OFFICE SUPPLIES,PAPER,SKYE NORLING,NUNAVUT,NUNAVUT,HOME OFFICE,2009-01-15,LOW,1,2009,5
66,6884,REGULAR AIR,2009-01-20,SHP_60,2009,1,Ord_46,Prod_6,Cust_33,217.0,0.01,41,-61.21,4.75,0.36,OFFICE SUPPLIES,PAPER,SKYE NORLING,NUNAVUT,NUNAVUT,HOME OFFICE,2009-01-15,LOW,1,2009,5
67,6916,EXPRESS AIR,2010-08-06,SHP_61,2010,8,Ord_47,Prod_1,Cust_37,436.17,0.08,40,-141.27,7.46,0.59,OFFICE SUPPLIES,STORAGE & ORGANIZATION,ANDREW GJERTSEN,NUNAVUT,NUNAVUT,CONSUMER,2010-04-06,LOW,4,2010,0
68,6980,REGULAR AIR,2010-02-19,SHP_62,2010,2,Ord_48,Prod_3,Cust_38,136.29,0.05,18,-77.28,7.72,0.38,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,RALPH KNIGHT,NUNAVUT,NUNAVUT,CONSUMER,2010-02-18,NOT SPECIFIED,2,2010,1
69,6982,EXPRESS AIR,2011-11-18,SHP_63,2011,11,Ord_49,Prod_8,Cust_25,1311.25,0.0,32,407.44,1.99,0.54,TECHNOLOGY,COMPUTER PERIPHERALS,DOROTHY WARDLE,NUNAVUT,NUNAVUT,CORPORATE,2011-11-16,NOT SPECIFIED,11,2011,2
70,6982,DELIVERY TRUCK,2011-11-18,SHP_64,2011,11,Ord_49,Prod_10,Cust_25,544.41,0.09,5,-338.27,57.38,0.78,FURNITURE,BOOKCASES,DOROTHY WARDLE,NUNAVUT,NUNAVUT,CORPORATE,2011-11-16,NOT SPECIFIED,11,2011,2
71,6982,REGULAR AIR,2011-11-18,SHP_65,2011,11,Ord_49,Prod_5,Cust_25,844.09,0.04,41,52.56,10.49,0.49,FURNITURE,OFFICE FURNISHINGS,DOROTHY WARDLE,NUNAVUT,NUNAVUT,CORPORATE,2011-11-16,NOT SPECIFIED,11,2011,2
72,7110,REGULAR AIR,2011-11-08,SHP_66,2011,11,Ord_50,Prod_15,Cust_35,6396.2,0.02,22,1902.24,24.49,,FURNITURE,CHAIRS & CHAIRMATS,GRANT CARROLL,NUNAVUT,NUNAVUT,CORPORATE,2011-07-08,LOW,7,2011,0
73,7430,REGULAR AIR,2010-09-06,SHP_67,2010,9,Ord_51,Prod_9,Cust_34,751.77,0.05,50,353.2,1.39,0.38,OFFICE SUPPLIES,ENVELOPES,BARRY WEIRICH,NUNAVUT,NUNAVUT,CORPORATE,2010-08-06,MEDIUM,8,2010,0
74,7906,REGULAR AIR,2009-10-17,SHP_68,2009,10,Ord_52,Prod_2,Cust_39,1003.06,0.03,37,271.78,5.37,0.5,OFFICE SUPPLIES,APPLIANCES,BETH PAIGE,NUNAVUT,NUNAVUT,CONSUMER,2009-10-17,MEDIUM,10,2009,0
75,8391,DELIVERY TRUCK,2011-08-29,SHP_69,2011,8,Ord_53,Prod_15,Cust_40,1266.72,0.04,4,-268.36,64.73,0.56,FURNITURE,CHAIRS & CHAIRMATS,SYLVIA FOULSTON,NUNAVUT,NUNAVUT,CORPORATE,2011-08-28,HIGH,8,2011,1
76,8419,EXPRESS AIR,2011-01-10,SHP_70,2011,1,Ord_54,Prod_6,Cust_24,368.04,0.07,19,70.39,5.97,0.38,OFFICE SUPPLIES,PAPER,NICOLE HANSEN,NUNAVUT,NUNAVUT,SMALL BUSINESS,2011-09-29,CRITICAL,9,2011,-19
77,8419,REGULAR AIR,2011-09-30,SHP_71,2011,9,Ord_54,Prod_6,Cust_24,152.6,0.1,24,-86.62,7.03,0.37,OFFICE SUPPLIES,PAPER,NICOLE HANSEN,NUNAVUT,NUNAVUT,SMALL BUSINESS,2011-09-29,CRITICAL,9,2011,1
78,8833,REGULAR AIR,2012-08-05,SHP_72,2012,8,Ord_55,Prod_1,Cust_24,3338.98,0.0,40,-846.73,35.0,0.81,OFFICE SUPPLIES,STORAGE & ORGANIZATION,NICOLE HANSEN,NUNAVUT,NUNAVUT,SMALL BUSINESS,2012-04-05,LOW,4,2012,0
79,8995,EXPRESS AIR,2011-05-18,SHP_73,2011,5,Ord_56,Prod_6,Cust_41,270.84,0.1,41,-78.02,5.86,0.36,OFFICE SUPPLIES,PAPER,BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,2011-05-17,HIGH,5,2011,1
80,8995,EXPRESS AIR,2011-05-18,SHP_73,2011,5,Ord_56,Prod_5,Cust_41,3389.93,0.08,35,737.94,21.26,0.59,FURNITURE,OFFICE FURNISHINGS,BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,2011-05-17,HIGH,5,2011,1
81,8995,EXPRESS AIR,2011-05-18,SHP_73,2011,5,Ord_56,Prod_3,Cust_39,24.16,0.08,5,8.05,1.49,0.37,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BETH PAIGE,NUNAVUT,NUNAVUT,CONSUMER,2011-05-17,HIGH,5,2011,1
82,8995,REGULAR AIR,2011-05-18,SHP_74,2011,5,Ord_56,Prod_6,Cust_41,266.36,0.07,42,-191.28,8.19,0.37,OFFICE SUPPLIES,PAPER,BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,2011-05-17,HIGH,5,2011,1
83,8995,REGULAR AIR,2011-05-19,SHP_75,2011,5,Ord_56,Prod_7,Cust_41,89.41,0.01,46,-21.49,0.76,0.83,OFFICE SUPPLIES,RUBBER BANDS,BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,2011-05-17,HIGH,5,2011,2
84,9126,REGULAR AIR,2009-11-18,SHP_76,2009,11,Ord_57,Prod_2,Cust_42,2799.7,0.04,47,884.08,3.99,0.55,OFFICE SUPPLIES,APPLIANCES,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2009-11-17,MEDIUM,11,2009,1
85,9127,EXPRESS AIR,2011-12-10,SHP_77,2011,12,Ord_58,Prod_1,Cust_43,2039.56,0.04,7,-329.49,35.0,0.8,OFFICE SUPPLIES,STORAGE & ORGANIZATION,BRYAN DAVIS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2011-10-10,NOT SPECIFIED,10,2011,0
86,9509,DELIVERY TRUCK,2012-08-10,SHP_78,2012,8,Ord_59,Prod_15,Cust_44,12175.82,0.02,36,2825.15,58.95,0.57,FURNITURE,CHAIRS & CHAIRMATS,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2012-07-10,NOT SPECIFIED,7,2012,0
87,9509,EXPRESS AIR,2012-08-10,SHP_79,2012,8,Ord_59,Prod_6,Cust_44,101.21,0.1,5,2.13,5.21,0.37,OFFICE SUPPLIES,PAPER,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2012-07-10,NOT SPECIFIED,7,2012,0
88,9509,REGULAR AIR,2012-07-10,SHP_80,2012,7,Ord_59,Prod_6,Cust_44,1585.64,0.02,32,707.15,5.81,0.38,OFFICE SUPPLIES,PAPER,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2012-07-10,NOT SPECIFIED,7,2012,0
